Mardu Energy -- 0.95% of field, won 43.28% of matches
+---------------------------------+--------+---------+----------+----------+
|        Mardu Energy vs.         | EW NA  |  EW NA  | Post-EoE | Post-EoE |
|                                 | Record |  Win %  |  Record  |  Win %   |
+---------------------------------+--------+---------+----------+----------+
| Dimir Reanimator                | 7-7-0  |  50.00% | 19-11-0  |   63.33% |
| Mystic Forge Combo              | 1-6-0  |  14.29% |  4-8-0   |   33.33% |
| Dimir Tempo                     | 2-1-0  |  66.67% |  4-4-0   |   50.00% |
| Cephalid Breakfast              | 3-3-0  |  50.00% |  3-3-0   |   50.00% |
| Izzet Tempo                     | 0-2-0  |   0.00% |  4-3-0   |   57.14% |
| Red Stompy                      | 2-1-0  |  66.67% |  2-4-0   |   33.33% |
| Nadu Midrange Combo             | 1-2-0  |  33.33% |  1-2-0   |   33.33% |
| Lands                           | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Red Painter                     | 1-1-0  |  50.00% |  1-1-0   |   50.00% |
| Eldrazi                         | 1-0-0  | 100.00% |  2-4-0   |   33.33% |
| Sneak and Show                  | 1-1-0  |  50.00% |  2-1-0   |   66.67% |
| Stiflenought                    | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Beanstalk Control (Non-Yorion)  | 0-0-0  |     --- |  0-0-0   |      --- |
| Blue Cloudpost                  | 2-2-0  |  50.00% |  2-2-0   |   50.00% |
| Jeskai Control                  | 0-1-0  |   0.00% |  1-2-0   |   33.33% |
| Doomsday                        | 1-1-0  |  50.00% |  2-1-0   |   66.67% |
| Omni-Tell                       | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Cradle Control                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Oops All Spells                 | 0-0-0  |     --- |  3-2-0   |   60.00% |
| Grixis Control                  | 0-1-0  |   0.00% |  3-1-0   |   75.00% |
| Other Control                   | 1-1-0  |  50.00% |  1-1-0   |   50.00% |
| The EPIC Storm                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Aggro                     | 0-0-0  |     --- |  0-0-0   |      --- |
| ANT                             | 0-0-0  |     --- |  0-0-0   |      --- |
| Unknown Deck                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Nadu Cradle Combo               | 0-0-0  |     --- |  1-0-0   |  100.00% |
| Death and Taxes - BW (Yorion)   | 0-0-0  |     --- |  0-2-0   |    0.00% |
| Saga Storm                      | 0-0-0  |     --- |  0-0-0   |      --- |
| Black Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Burn/Red Prowess                | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Blue Painter                    | 1-0-0  | 100.00% |  2-0-0   |  100.00% |
| Grixis Tempo                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Loam Pox                        | 0-0-0  |     --- |  0-0-0   |      --- |
| Mono Green Cloudpost            | 0-0-0  |     --- |  1-0-0   |  100.00% |
| Other Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Permanent Combo           | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Rakdos Reanimator               | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| 8Cast                           | 0-0-0  |     --- |  0-0-0   |      --- |
| Black Midrange                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Elves                           | 0-0-0  |     --- |  0-0-0   |      --- |
| Esper Control                   | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Esper Tempo                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Infect                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Tempo                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Stoneblade                      | 0-0-0  |     --- |  0-0-0   |      --- |
| Goblins (Vial)                  | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Mono Black Reanimator           | 0-0-0  |     --- |  0-0-0   |      --- |
| Worldgorger                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Beanstalk Control (Yorion)      | 0-0-0  |     --- |  0-0-0   |      --- |
| Boros Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Food Chain                      | 0-0-0  |     --- |  0-0-0   |      --- |
| Golgari Depths                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Loam                            | 0-0-0  |     --- |  0-0-0   |      --- |
| Maverick                        | 0-0-0  |     --- |  0-0-0   |      --- |
| Naya Stompy                     | 0-0-0  |     --- |  0-1-0   |    0.00% |
| Selesnya Depths                 | 0-0-0  |     --- |  0-1-0   |    0.00% |
| Standstill                      | 0-0-0  |     --- |  0-0-0   |      --- |
| 4C Uro Control (Non-Yorion)     | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| 8Mulch                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Bomberman                       | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Creative Technique              | 0-0-0  |     --- |  0-0-0   |      --- |
| Death and Taxes (60 Card)       | 0-0-0  |     --- |  0-0-0   |      --- |
| Esper Vial                      | 0-0-0  |     --- |  0-0-0   |      --- |
| High Tide                       | 0-0-0  |     --- |  0-0-0   |      --- |
| Merfolk                         | 0-0-0  |     --- |  0-1-0   |    0.00% |
| Naya Depths                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Ninjas                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Graveyard                 | 0-0-0  |     --- |  0-0-0   |      --- |
| Ruby Storm                      | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Sultai Control                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Temur Cascade                   | 0-0-0  |     --- |  0-0-0   |      --- |
| Tin Fins                        | 0-0-0  |     --- |  0-0-0   |      --- |
| White Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| 4C Non Uro Control (Non-Yorion) | 0-0-0  |     --- |  0-0-0   |      --- |
| 4C Uro Control (Yorion)         | 0-0-0  |     --- |  0-0-0   |      --- |
| Abzan Depths                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Bant Control (Non-Yorion)       | 0-0-0  |     --- |  0-0-0   |      --- |
| Bant Control (Yorion)           | 0-0-0  |     --- |  0-0-0   |      --- |
| Boros Energy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Colorless Cloudpost             | 0-0-0  |     --- |  0-0-0   |      --- |
| Coveted Jewel Combo             | 0-0-0  |     --- |  0-0-0   |      --- |
| Death's Shadow                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Dredge                          | 0-0-0  |     --- |  2-0-0   |  100.00% |
| Gruul Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Hogaak                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Jeskai Tempo                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Natural Order                   | 0-0-0  |     --- |  0-0-0   |      --- |
| Necrodominance Combo            | 0-0-0  |     --- |  0-0-0   |      --- |
| Nic Fit                         | 0-0-0  |     --- |  0-0-0   |      --- |
| Other                           | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Land Based/Fair GSZ       | 0-0-0  |     --- |  0-1-0   |    0.00% |
| Paradoxical Outcome             | 0-0-0  |     --- |  0-0-0   |      --- |
| Sultai Tempo                    | 0-0-0  |     --- |  0-0-0   |      --- |
| The EPIC Gamble                 | 0-0-0  |     --- |  0-0-0   |      --- |
+---------------------------------+--------+---------+----------+----------+
