Other Control -- 1.27% of field, won 51.11% of matches
+---------------------------------+--------+---------+----------+----------+
|       Other Control vs.         | EW NA  |  EW NA  | Post-EoE | Post-EoE |
|                                 | Record |  Win %  |  Record  |  Win %   |
+---------------------------------+--------+---------+----------+----------+
| Dimir Reanimator                | 3-13-0 |  18.75% |  9-20-0  |   31.03% |
| Mystic Forge Combo              | 4-4-0  |  50.00% |  6-4-0   |   60.00% |
| Dimir Tempo                     | 3-2-0  |  60.00% |  4-2-0   |   66.67% |
| Cephalid Breakfast              | 4-2-0  |  66.67% |  5-2-0   |   71.43% |
| Izzet Tempo                     | 7-2-0  |  77.78% |  8-4-0   |   66.67% |
| Red Stompy                      | 2-2-0  |  50.00% |  3-3-0   |   50.00% |
| Nadu Midrange Combo             | 1-1-0  |  50.00% |  3-1-0   |   75.00% |
| Lands                           | 0-0-0  |     --- |  0-0-0   |      --- |
| Red Painter                     | 3-0-0  | 100.00% |  3-0-0   |  100.00% |
| Eldrazi                         | 1-0-0  | 100.00% |  1-2-0   |   33.33% |
| Sneak and Show                  | 1-2-0  |  33.33% |  1-2-0   |   33.33% |
| Stiflenought                    | 1-2-0  |  33.33% |  1-2-0   |   33.33% |
| Beanstalk Control (Non-Yorion)  | 2-2-0  |  50.00% |  2-2-0   |   50.00% |
| Blue Cloudpost                  | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Jeskai Control                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Doomsday                        | 1-1-0  |  50.00% |  1-1-0   |   50.00% |
| Omni-Tell                       | 0-0-0  |     --- |  1-1-0   |   50.00% |
| Cradle Control                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Oops All Spells                 | 0-1-0  |   0.00% |  1-1-0   |   50.00% |
| Grixis Control                  | 0-2-0  |   0.00% |  1-2-0   |   33.33% |
| The EPIC Storm                  | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Other Aggro                     | 2-0-0  | 100.00% |  3-0-0   |  100.00% |
| ANT                             | 1-1-0  |  50.00% |  1-1-0   |   50.00% |
| Unknown Deck                    | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Mardu Energy                    | 1-1-0  |  50.00% |  1-1-0   |   50.00% |
| Nadu Cradle Combo               | 1-0-0  | 100.00% |  1-1-0   |   50.00% |
| Death and Taxes - BW (Yorion)   | 0-0-0  |     --- |  0-1-0   |    0.00% |
| Saga Storm                      | 1-1-0  |  50.00% |  1-1-0   |   50.00% |
| Black Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Burn/Red Prowess                | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Blue Painter                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Grixis Tempo                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Loam Pox                        | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Mono Green Cloudpost            | 0-0-0  |     --- |  2-1-0   |   66.67% |
| Other Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Permanent Combo           | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Rakdos Reanimator               | 0-0-0  |     --- |  0-0-0   |      --- |
| 8Cast                           | 0-0-0  |     --- |  0-0-0   |      --- |
| Black Midrange                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Elves                           | 0-0-0  |     --- |  0-1-0   |    0.00% |
| Esper Control                   | 0-0-0  |     --- |  1-0-0   |  100.00% |
| Esper Tempo                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Infect                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Tempo                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Stoneblade                      | 0-0-0  |     --- |  0-0-0   |      --- |
| Goblins (Vial)                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Mono Black Reanimator           | 0-0-0  |     --- |  0-0-0   |      --- |
| Worldgorger                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Beanstalk Control (Yorion)      | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Boros Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Food Chain                      | 0-0-0  |     --- |  0-0-0   |      --- |
| Golgari Depths                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Loam                            | 0-0-0  |     --- |  0-0-0   |      --- |
| Maverick                        | 0-0-0  |     --- |  0-0-0   |      --- |
| Naya Stompy                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Selesnya Depths                 | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Standstill                      | 0-0-0  |     --- |  0-0-0   |      --- |
| 4C Uro Control (Non-Yorion)     | 0-0-0  |     --- |  0-0-0   |      --- |
| 8Mulch                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Bomberman                       | 0-0-0  |     --- |  0-0-0   |      --- |
| Creative Technique              | 0-0-0  |     --- |  0-0-0   |      --- |
| Death and Taxes (60 Card)       | 0-0-0  |     --- |  0-0-0   |      --- |
| Esper Vial                      | 0-0-0  |     --- |  0-0-0   |      --- |
| High Tide                       | 0-0-0  |     --- |  0-0-0   |      --- |
| Merfolk                         | 0-0-0  |     --- |  0-0-0   |      --- |
| Naya Depths                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Ninjas                          | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Other Graveyard                 | 0-0-0  |     --- |  0-0-0   |      --- |
| Ruby Storm                      | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Sultai Control                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Temur Cascade                   | 0-0-0  |     --- |  0-0-0   |      --- |
| Tin Fins                        | 0-0-0  |     --- |  0-0-0   |      --- |
| White Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| 4C Non Uro Control (Non-Yorion) | 0-0-0  |     --- |  0-0-0   |      --- |
| 4C Uro Control (Yorion)         | 0-0-0  |     --- |  0-0-0   |      --- |
| Abzan Depths                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Bant Control (Non-Yorion)       | 0-0-0  |     --- |  0-0-0   |      --- |
| Bant Control (Yorion)           | 0-0-0  |     --- |  0-0-0   |      --- |
| Boros Energy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Colorless Cloudpost             | 0-0-0  |     --- |  0-0-0   |      --- |
| Coveted Jewel Combo             | 0-0-0  |     --- |  0-0-0   |      --- |
| Death's Shadow                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Dredge                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Gruul Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Hogaak                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Jeskai Tempo                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Natural Order                   | 0-0-0  |     --- |  0-0-0   |      --- |
| Necrodominance Combo            | 0-0-0  |     --- |  0-0-0   |      --- |
| Nic Fit                         | 0-0-0  |     --- |  0-0-0   |      --- |
| Other                           | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Land Based/Fair GSZ       | 0-0-0  |     --- |  0-0-0   |      --- |
| Paradoxical Outcome             | 0-0-0  |     --- |  0-0-0   |      --- |
| Sultai Tempo                    | 0-0-0  |     --- |  0-0-0   |      --- |
| The EPIC Gamble                 | 0-0-0  |     --- |  0-0-0   |      --- |
+---------------------------------+--------+---------+----------+----------+
