Unknown Deck -- 1.06% of field, won 54.67% of matches
+---------------------------------+--------+---------+----------+----------+
|        Unknown Deck vs.         | EW NA  |  EW NA  | Post-EoE | Post-EoE |
|                                 | Record |  Win %  |  Record  |  Win %   |
+---------------------------------+--------+---------+----------+----------+
| Dimir Reanimator                | 9-7-0  |  56.25% | 11-12-0  |   47.83% |
| Mystic Forge Combo              | 2-6-0  |  25.00% |  2-6-0   |   25.00% |
| Dimir Tempo                     | 3-1-0  |  75.00% |  5-2-0   |   71.43% |
| Cephalid Breakfast              | 0-2-0  |   0.00% |  0-2-0   |    0.00% |
| Izzet Tempo                     | 1-1-0  |  50.00% |  1-2-0   |   33.33% |
| Red Stompy                      | 2-0-0  | 100.00% |  2-3-0   |   40.00% |
| Nadu Midrange Combo             | 2-1-0  |  66.67% |  2-2-0   |   50.00% |
| Lands                           | 3-0-0  | 100.00% |  3-2-0   |   60.00% |
| Red Painter                     | 1-1-0  |  50.00% |  1-1-0   |   50.00% |
| Eldrazi                         | 0-3-0  |   0.00% |  0-7-0   |    0.00% |
| Sneak and Show                  | 1-2-0  |  33.33% |  1-2-0   |   33.33% |
| Stiflenought                    | 2-5-0  |  28.57% |  3-6-0   |   33.33% |
| Beanstalk Control (Non-Yorion)  | 1-0-0  | 100.00% |  2-0-0   |  100.00% |
| Blue Cloudpost                  | 1-1-0  |  50.00% |  1-1-0   |   50.00% |
| Jeskai Control                  | 0-1-0  |   0.00% |  1-2-0   |   33.33% |
| Doomsday                        | 0-0-0  |     --- |  1-0-0   |  100.00% |
| Omni-Tell                       | 0-0-0  |     --- |  0-1-0   |    0.00% |
| Cradle Control                  | 0-0-0  |     --- |  1-0-0   |  100.00% |
| Oops All Spells                 | 0-0-0  |     --- |  0-0-0   |      --- |
| Grixis Control                  | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Other Control                   | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| The EPIC Storm                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Aggro                     | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| ANT                             | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Mardu Energy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Nadu Cradle Combo               | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Death and Taxes - BW (Yorion)   | 1-0-0  | 100.00% |  1-2-0   |   33.33% |
| Saga Storm                      | 0-0-0  |     --- |  1-1-0   |   50.00% |
| Black Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Burn/Red Prowess                | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Blue Painter                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Grixis Tempo                    | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Loam Pox                        | 0-0-0  |     --- |  0-0-0   |      --- |
| Mono Green Cloudpost            | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Stompy                    | 1-0-0  | 100.00% |  2-0-0   |  100.00% |
| Other Permanent Combo           | 0-0-0  |     --- |  0-0-0   |      --- |
| Rakdos Reanimator               | 0-0-0  |     --- |  0-0-0   |      --- |
| 8Cast                           | 1-0-0  | 100.00% |  1-2-0   |   33.33% |
| Black Midrange                  | 0-0-0  |     --- |  0-1-0   |    0.00% |
| Elves                           | 0-0-0  |     --- |  0-0-0   |      --- |
| Esper Control                   | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Esper Tempo                     | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Infect                          | 0-1-0  |   0.00% |  1-1-0   |   50.00% |
| Other Tempo                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Stoneblade                      | 0-0-0  |     --- |  0-0-0   |      --- |
| Goblins (Vial)                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Mono Black Reanimator           | 0-0-0  |     --- |  0-1-0   |    0.00% |
| Worldgorger                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Beanstalk Control (Yorion)      | 0-0-0  |     --- |  0-0-0   |      --- |
| Boros Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Food Chain                      | 0-0-0  |     --- |  0-0-0   |      --- |
| Golgari Depths                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Loam                            | 0-0-0  |     --- |  0-0-0   |      --- |
| Maverick                        | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Naya Stompy                     | 0-0-0  |     --- |  0-0-0   |      --- |
| Selesnya Depths                 | 0-0-0  |     --- |  0-0-0   |      --- |
| Standstill                      | 0-0-0  |     --- |  0-0-0   |      --- |
| 4C Uro Control (Non-Yorion)     | 0-0-0  |     --- |  0-0-0   |      --- |
| 8Mulch                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Bomberman                       | 1-0-0  | 100.00% |  1-0-0   |  100.00% |
| Creative Technique              | 0-0-0  |     --- |  0-0-0   |      --- |
| Death and Taxes (60 Card)       | 0-0-0  |     --- |  0-0-0   |      --- |
| Esper Vial                      | 0-0-0  |     --- |  0-0-0   |      --- |
| High Tide                       | 0-0-0  |     --- |  0-0-0   |      --- |
| Merfolk                         | 0-0-0  |     --- |  0-0-0   |      --- |
| Naya Depths                     | 0-1-0  |   0.00% |  0-1-0   |    0.00% |
| Ninjas                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Graveyard                 | 0-0-0  |     --- |  0-0-0   |      --- |
| Ruby Storm                      | 0-0-0  |     --- |  0-0-0   |      --- |
| Sultai Control                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Temur Cascade                   | 0-0-0  |     --- |  1-0-0   |  100.00% |
| Tin Fins                        | 0-0-0  |     --- |  0-0-0   |      --- |
| White Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| 4C Non Uro Control (Non-Yorion) | 0-0-0  |     --- |  0-0-0   |      --- |
| 4C Uro Control (Yorion)         | 0-0-0  |     --- |  0-0-0   |      --- |
| Abzan Depths                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Bant Control (Non-Yorion)       | 0-0-0  |     --- |  0-0-0   |      --- |
| Bant Control (Yorion)           | 0-0-0  |     --- |  0-0-0   |      --- |
| Boros Energy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Colorless Cloudpost             | 0-0-0  |     --- |  0-0-0   |      --- |
| Coveted Jewel Combo             | 0-0-0  |     --- |  0-0-0   |      --- |
| Death's Shadow                  | 0-0-0  |     --- |  0-0-0   |      --- |
| Dredge                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Gruul Stompy                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Hogaak                          | 0-0-0  |     --- |  0-0-0   |      --- |
| Jeskai Tempo                    | 0-0-0  |     --- |  0-0-0   |      --- |
| Natural Order                   | 0-0-0  |     --- |  0-0-0   |      --- |
| Necrodominance Combo            | 0-0-0  |     --- |  1-0-0   |  100.00% |
| Nic Fit                         | 0-0-0  |     --- |  0-0-0   |      --- |
| Other                           | 0-0-0  |     --- |  0-0-0   |      --- |
| Other Land Based/Fair GSZ       | 0-0-0  |     --- |  0-0-0   |      --- |
| Paradoxical Outcome             | 0-0-0  |     --- |  0-0-0   |      --- |
| Sultai Tempo                    | 0-0-0  |     --- |  0-1-0   |    0.00% |
| The EPIC Gamble                 | 0-0-0  |     --- |  0-0-0   |      --- |
+---------------------------------+--------+---------+----------+----------+
