Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
+------------------------------------------------------------------------+---------+-------------+---------------+------------+---------+--------------------+------------+-------------+----------+----------------+-----------------+-------------+------------+
| Tournament                                                             | Players | Dimir Tempo | UB Reanimator | Red Stompy | Eldrazi | Mystic Forge Combo | Nadu Combo | Red Painter | Doomsday | Sneak and Show | Oops All Spells | Other Aggro | Stoneblade |
+------------------------------------------------------------------------+---------+-------------+---------------+------------+---------+--------------------+------------+-------------+----------+----------------+-----------------+-------------+------------+
| Legacy Challenge 32 2024-09-01 (2024-09-01)                            |      54 |      55.16% |        54.89% |     54.30% |  47.13% |             52.95% |     56.11% |      57.30% |    0.00% |         52.44% |          51.02% |       0.00% |      0.00% |
| European Legacy Masters 2024 (2024-09-07)                              |     112 |      51.73% |        55.24% |     56.46% |  55.42% |             51.60% |      0.00% |      52.12% |   58.36% |          0.00% |           0.00% |       0.00% |      0.00% |
| Legacy Challenge 32 2024-09-08 (2024-09-08)                            |      53 |      55.02% |        54.74% |     54.80% |  50.01% |             51.66% |      0.00% |      52.60% |   58.10% |          0.00% |           0.00% |       0.00% |      0.00% |
| Legacy Challenge 32 2024-09-15 (2024-09-15)                            |      39 |      54.56% |        53.01% |     53.92% |  47.35% |             52.47% |      0.00% |      53.13% |   55.22% |         51.76% |          53.53% |       0.00% |      0.00% |
| Legacy Challenge 32 2024-09-29 (2024-09-29)                            |      32 |      52.86% |        56.78% |     52.79% |  44.04% |              0.00% |     56.22% |      54.01% |    0.00% |         44.26% |           0.00% |       0.00% |      0.00% |
| Buffalo Chicken Dip Legacy 17 (2024-10-12)                             |      42 |      52.73% |        56.51% |     53.29% |  53.68% |             53.21% |      0.00% |      50.33% |    0.00% |         44.07% |          51.05% |      43.51% |      0.00% |
| DMV Legacy League Invitational (2024-10-12)                            |      43 |       0.00% |        60.61% |     53.38% |  58.05% |              0.00% |      0.00% |      55.52% |    0.00% |          0.00% |           0.00% |      37.65% |      0.00% |
| 2024 Asia Legacy Championship (2024-10-12)                             |     614 |      54.45% |        54.50% |     51.17% |  52.14% |             54.87% |     54.06% |      52.83% |   58.85% |         47.23% |          52.64% |      38.76% |     51.12% |
| Legacy Challenge 32 2024-10-13 (2024-10-13)                            |      37 |      57.54% |        53.48% |     53.42% |  52.50% |             58.85% |      0.00% |       0.00% |   60.57% |          0.00% |           0.00% |       0.00% |      0.00% |
| Legacy Challenge 32 2024-10-16 (2024-10-16)                            |      38 |      55.68% |        55.84% |     51.01% |  51.37% |             54.22% |     55.46% |      47.92% |   56.16% |         47.00% |          51.72% |       0.00% |      0.00% |
| Legacy Challenge 32 2024-10-18 (2024-10-18)                            |      43 |      55.85% |        52.73% |     54.07% |  48.78% |             56.08% |      0.00% |      48.20% |   56.67% |          0.00% |           0.00% |       0.00% |      0.00% |
| Buffalo Chicken Dip Legacy 15 (2024-10-19)                             |      44 |      52.13% |        54.40% |     56.06% |  52.83% |             59.71% |     54.99% |      50.24% |   59.67% |          0.00% |           0.00% |       0.00% |      0.00% |
| Legacy Challenge 32 2024-10-19 (2024-10-19)                            |      49 |      56.10% |        53.63% |     50.28% |  47.06% |             55.85% |     52.38% |      51.02% |   58.59% |         49.37% |          54.20% |       0.00% |      0.00% |
| Legacy Challenge 32 2024-10-20 (2024-10-20)                            |      41 |      56.40% |        52.09% |     49.72% |  49.74% |             55.78% |      0.00% |      53.41% |   58.49% |         53.30% |          52.35% |       0.00% |     51.51% |
| Legacy Challenge 64 2024-10-20 (2024-10-20)                            |      80 |      54.51% |        51.83% |     52.23% |  51.03% |             53.95% |     52.02% |      53.56% |   60.93% |         48.50% |           0.00% |       0.00% |      0.00% |
| Legacy Challenge 32 2024-10-23 (2024-10-23)                            |      53 |      58.87% |        55.70% |     51.01% |  52.69% |             53.83% |     50.79% |      49.29% |   57.76% |         49.25% |          51.83% |       0.00% |     52.81% |
| Legacy Challenge 32 2024-10-25 (2024-10-25)                            |      47 |      54.00% |        54.97% |     50.44% |  51.49% |             57.64% |     47.48% |      52.96% |    0.00% |          0.00% |          55.41% |       0.00% |     54.01% |
| BLACK - FRI - 12:00 PM - Legacy Cup - MagicCon: Las Vegas (2024-10-25) |     123 |      55.60% |        55.80% |     50.23% |  57.91% |             48.99% |     52.22% |      50.46% |   52.61% |         50.13% |           0.00% |       0.00% |     56.34% |
| Legacy Challenge 32 2024-10-26 (2024-10-26)                            |      45 |      55.93% |        53.34% |     51.54% |  52.12% |             54.07% |     49.93% |       0.00% |   57.21% |         47.72% |           0.00% |       0.00% |      0.00% |
| BLACK -SAT - 1:30 PM - Legacy for Original Magic Artwork (2024-10-26)  |      73 |      54.90% |        55.15% |     47.42% |  57.36% |             45.82% |     45.23% |      53.34% |    0.00% |         53.63% |           0.00% |       0.00% |     54.70% |
| Legacy Challenge 32 2024-10-27 (2024-10-27)                            |      47 |      54.21% |        52.60% |     49.31% |  50.41% |             60.49% |     52.34% |      52.85% |    0.00% |         51.59% |           0.00% |       0.00% |      0.00% |
| Legacy Challenge 64 2024-10-27 (2024-10-27)                            |      68 |      56.53% |        55.35% |     51.85% |  53.77% |             56.92% |     51.67% |      51.85% |   61.84% |         52.56% |           0.00% |       0.00% |      0.00% |
| Legacy Challenge 32 2024-10-30 (2024-10-30)                            |      44 |      56.32% |        55.22% |     56.04% |  55.29% |              0.00% |     53.89% |      52.77% |   54.11% |          0.00% |           0.00% |      33.46% |      0.00% |
| Legacy Challenge 32 2024-11-01 (2024-11-01)                            |      49 |      56.64% |        55.39% |     53.18% |  51.76% |             59.45% |     54.71% |      49.69% |   54.79% |          0.00% |           0.00% |      40.73% |     50.63% |
| Legacy Challenge 32 2024-11-03 (2024-11-03)                            |      45 |      53.03% |        49.99% |     50.25% |   0.00% |              0.00% |     55.23% |      53.82% |   59.59% |         53.87% |          46.70% |       0.00% |     51.15% |
| Bazaar of Boxes 13 (2024-11-09)                                        |     118 |      55.77% |        53.09% |     51.61% |  55.99% |             57.04% |     56.10% |      52.74% |   61.92% |         53.31% |          54.53% |       0.00% |     49.81% |
| AnziD's Eternal Legacy Showdown (2024-11-10)                           |     241 |      54.53% |        52.01% |     51.23% |  52.60% |             51.45% |     53.46% |      51.87% |   61.78% |         47.34% |          53.16% |       0.00% |     51.35% |
| Legacy Challenge 32 2024-11-16 (2024-11-16)                            |      60 |      52.35% |        51.05% |     48.36% |  49.30% |             49.63% |     52.30% |      52.81% |   56.99% |         48.15% |          53.67% |       0.00% |      0.00% |
| Legacy Challenge 32 2024-11-17 - 1 (2024-11-17)                        |      47 |      52.92% |        51.98% |     51.80% |  49.44% |              0.00% |     54.28% |      53.18% |   54.68% |         48.50% |          54.10% |      39.05% |      0.00% |
| Legacy Challenge 32 2024-11-17 - 2 (2024-11-17)                        |      50 |      52.95% |        54.60% |     51.82% |  49.59% |             52.67% |     49.51% |      50.40% |   55.50% |         51.59% |          52.01% |      37.96% |      0.00% |
| Legacy Showcase Challenge 2024-11-17 (2024-11-17)                      |     351 |      54.87% |        51.92% |     50.92% |  50.55% |             51.80% |     53.10% |      51.47% |   56.54% |         48.99% |          51.88% |      36.63% |     52.48% |
+------------------------------------------------------------------------+---------+-------------+---------------+------------+---------+--------------------+------------+-------------+----------+----------------+-----------------+-------------+------------+
