Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
+------------------------------------------------------------------------+---------+-------------+---------------+------------+---------+--------------------+------------+-------------+----------+----------------+-----------------+-------------+------------+
| Tournament                                                             | Players | Dimir Tempo | UB Reanimator | Red Stompy | Eldrazi | Mystic Forge Combo | Nadu Combo | Red Painter | Doomsday | Sneak and Show | Oops All Spells | Other Aggro | Stoneblade |
+------------------------------------------------------------------------+---------+-------------+---------------+------------+---------+--------------------+------------+-------------+----------+----------------+-----------------+-------------+------------+
| Legacy Challenge 32 2024-09-01 (2024-09-01)                            |      54 |      14.81% |        11.11% |      1.85% |   7.41% |              1.85% |      1.85% |       7.41% |    0.00% |          1.85% |           1.85% |       0.00% |      0.00% |
| European Legacy Masters 2024 (2024-09-07)                              |     112 |       5.36% |        15.18% |      1.79% |   4.46% |              0.89% |      0.00% |       5.36% |    4.46% |          0.00% |           0.00% |       0.00% |      0.00% |
| Legacy Challenge 32 2024-09-08 (2024-09-08)                            |      53 |      11.32% |        11.32% |      5.66% |   9.43% |              1.89% |      0.00% |       7.55% |    1.89% |          0.00% |           0.00% |       0.00% |      0.00% |
| Legacy Challenge 32 2024-09-15 (2024-09-15)                            |      39 |      15.38% |         7.69% |      5.13% |  12.82% |              5.13% |      0.00% |       5.13% |    2.56% |          5.13% |           2.56% |       0.00% |      0.00% |
| Legacy Challenge 32 2024-09-29 (2024-09-29)                            |      32 |       9.38% |        12.50% |      9.38% |   6.25% |              0.00% |      3.12% |       9.38% |    0.00% |          6.25% |           0.00% |       0.00% |      0.00% |
| Buffalo Chicken Dip Legacy 17 (2024-10-12)                             |      42 |       2.38% |        16.67% |      2.38% |  11.90% |              4.76% |      0.00% |       9.52% |    0.00% |          7.14% |           2.38% |       2.38% |      0.00% |
| DMV Legacy League Invitational (2024-10-12)                            |      43 |       0.00% |        13.64% |      6.82% |   6.82% |              0.00% |      0.00% |       4.55% |    0.00% |          0.00% |           0.00% |       2.27% |      0.00% |
| 2024 Asia Legacy Championship (2024-10-12)                             |     614 |       5.70% |        21.17% |      5.70% |   8.47% |              1.95% |      3.09% |       5.37% |    2.12% |          4.23% |           1.63% |       0.49% |      0.49% |
| Legacy Challenge 32 2024-10-13 (2024-10-13)                            |      37 |      10.81% |        10.81% |     10.81% |  13.51% |              5.41% |      0.00% |       0.00% |    5.41% |          0.00% |           0.00% |       0.00% |      0.00% |
