Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
+------------------------------------------------------------------------+---------+-------------+---------------+------------+---------+--------------------+------------+-------------+----------+----------------+-----------------+-------------+------------+
| Tournament                                                             | Players | Dimir Tempo | UB Reanimator | Red Stompy | Eldrazi | Mystic Forge Combo | Nadu Combo | Red Painter | Doomsday | Sneak and Show | Oops All Spells | Other Aggro | Stoneblade |
+------------------------------------------------------------------------+---------+-------------+---------------+------------+---------+--------------------+------------+-------------+----------+----------------+-----------------+-------------+------------+
| Legacy Challenge 32 2024-09-01 (2024-09-01)                            |      54 |      54.17% |        58.97% |     71.43% |  40.91% |             66.67% |     50.00% |      60.00% |      --- |         33.33% |          33.33% |         --- |        --- |
| European Legacy Masters 2024 (2024-09-07)                              |     112 |      39.39% |        58.41% |     44.44% |  65.71% |             57.14% |        --- |      48.65% |   68.57% |            --- |             --- |         --- |        --- |
| Legacy Challenge 32 2024-09-08 (2024-09-08)                            |      53 |      57.50% |        50.00% |     68.42% |  60.00% |             66.67% |        --- |      50.00% |   25.00% |            --- |             --- |         --- |        --- |
| Legacy Challenge 32 2024-09-15 (2024-09-15)                            |      39 |      57.89% |        61.90% |     41.67% |  46.88% |             50.00% |        --- |      40.00% |   66.67% |         50.00% |          50.00% |         --- |        --- |
| Legacy Challenge 32 2024-09-29 (2024-09-29)                            |      32 |      38.46% |        55.00% |     60.00% |  50.00% |                --- |     83.33% |      50.00% |      --- |         63.64% |             --- |         --- |        --- |
| Buffalo Chicken Dip Legacy 17 (2024-10-12)                             |      42 |      60.00% |        52.50% |     50.00% |  43.33% |             61.54% |        --- |      59.09% |      --- |         18.75% |          66.67% |      33.33% |        --- |
| DMV Legacy League Invitational (2024-10-12)                            |      43 |         --- |        48.57% |     50.00% |  42.11% |                --- |        --- |      70.59% |      --- |            --- |             --- |      25.00% |        --- |
| 2024 Asia Legacy Championship (2024-10-12)                             |     614 |      53.76% |        54.72% |     52.38% |  53.92% |             58.10% |     59.29% |      50.00% |   51.09% |         47.00% |          47.30% |      31.25% |     38.89% |
| Legacy Challenge 32 2024-10-13 (2024-10-13)                            |      37 |      54.17% |        57.89% |     40.00% |  65.71% |             54.55% |        --- |         --- |   50.00% |            --- |             --- |         --- |        --- |
| Legacy Challenge 32 2024-10-16 (2024-10-16)                            |      38 |      41.67% |        53.85% |     50.00% |  55.32% |             33.33% |     50.00% |       0.00% |   66.67% |         58.33% |          57.14% |         --- |        --- |
| Legacy Challenge 32 2024-10-18 (2024-10-18)                            |      43 |      54.55% |        40.91% |     51.22% |  54.29% |             39.13% |        --- |      52.63% |   65.00% |            --- |             --- |         --- |        --- |
| Buffalo Chicken Dip Legacy 15 (2024-10-19)                             |      44 |     100.00% |        48.15% |     53.33% |  50.00% |             83.33% |     58.82% |      68.00% |   50.00% |            --- |             --- |         --- |        --- |
| Legacy Challenge 32 2024-10-19 (2024-10-19)                            |      49 |      64.29% |        46.88% |     54.90% |  42.86% |             77.78% |     50.00% |      50.00% |   50.00% |         71.43% |          25.00% |         --- |        --- |
| Legacy Challenge 32 2024-10-20 (2024-10-20)                            |      41 |      47.83% |        52.94% |     51.35% |  73.68% |             77.78% |        --- |      41.67% |   44.44% |         50.00% |           0.00% |         --- |     77.78% |
| Legacy Challenge 64 2024-10-20 (2024-10-20)                            |      80 |      55.26% |        56.94% |     54.29% |  38.64% |             62.50% |     47.06% |      54.76% |   30.00% |         16.67% |             --- |         --- |        --- |
| Legacy Challenge 32 2024-10-23 (2024-10-23)                            |      53 |      66.67% |        41.67% |     54.35% |  50.00% |             57.14% |     66.67% |      40.00% |   37.50% |         50.00% |          85.71% |         --- |     66.67% |
| Legacy Challenge 32 2024-10-25 (2024-10-25)                            |      47 |      70.00% |        40.91% |     42.31% |  57.14% |             50.00% |     50.00% |      40.91% |      --- |            --- |          50.00% |         --- |     66.67% |
| BLACK - FRI - 12:00 PM - Legacy Cup - MagicCon: Las Vegas (2024-10-25) |     123 |      54.35% |        52.91% |     50.00% |  35.29% |             61.54% |     53.57% |      61.84% |   63.16% |         40.00% |             --- |         --- |     55.88% |
| Legacy Challenge 32 2024-10-26 (2024-10-26)                            |      45 |      58.33% |        46.15% |     50.00% |  57.69% |             33.33% |     30.77% |         --- |   72.73% |         50.00% |             --- |         --- |        --- |
| BLACK -SAT - 1:30 PM - Legacy for Original Magic Artwork (2024-10-26)  |      73 |      63.33% |        54.39% |     58.75% |  38.46% |             57.14% |     50.00% |      53.12% |      --- |         57.69% |             --- |         --- |     60.00% |
| Legacy Challenge 32 2024-10-27 (2024-10-27)                            |      47 |      60.00% |        57.58% |     41.18% |  33.33% |             58.33% |     72.73% |      58.33% |      --- |         20.00% |             --- |         --- |        --- |
| Legacy Challenge 64 2024-10-27 (2024-10-27)                            |      68 |      56.67% |        64.15% |     56.10% |  41.18% |             57.14% |     41.67% |      45.45% |   73.33% |          0.00% |             --- |         --- |        --- |
| Legacy Challenge 32 2024-10-30 (2024-10-30)                            |      44 |      52.17% |        51.35% |     56.82% |  56.52% |                --- |     55.56% |      50.00% |   85.71% |            --- |             --- |       0.00% |        --- |
| Legacy Challenge 32 2024-11-01 (2024-11-01)                            |      49 |      60.87% |        56.25% |     51.11% |  33.33% |             33.33% |     88.89% |      50.00% |    0.00% |            --- |             --- |      31.25% |     37.50% |
| Legacy Challenge 32 2024-11-03 (2024-11-03)                            |      45 |      45.71% |        53.66% |     46.43% |     --- |                --- |     50.00% |      47.83% |   50.00% |         50.00% |          66.67% |         --- |     50.00% |
| Bazaar of Boxes 13 (2024-11-09)                                        |     118 |      53.12% |        52.63% |     53.85% |  60.61% |             56.67% |     50.00% |      52.63% |   75.00% |         35.00% |          40.00% |         --- |     33.33% |
| AnziD's Eternal Legacy Showdown (2024-11-10)                           |     241 |      52.89% |        53.12% |     50.00% |  43.75% |             50.00% |     47.62% |      56.92% |   58.70% |         55.38% |          68.29% |         --- |     40.00% |
| Legacy Challenge 32 2024-11-16 (2024-11-16)                            |      60 |      53.57% |        55.56% |      0.00% |  57.14% |             36.84% |     37.50% |      53.85% |   53.33% |         44.00% |          44.44% |         --- |        --- |
| Legacy Challenge 32 2024-11-17 - 1 (2024-11-17)                        |      47 |      50.00% |        48.94% |     51.35% |  35.00% |                --- |     61.54% |      60.00% |    0.00% |         66.67% |          40.00% |      40.00% |        --- |
