Connecting to DB: sqlite+pysqlite:////home/jhatfiel/src/tmi-metatools/database/legacy2024.db
+------------------------------------------------------------------------+---------+-------------+---------------+------------+---------+--------------------+------------+-------------+----------+----------------+-----------------+-------------+------------+
| Tournament                                                             | Players | Dimir Tempo | UB Reanimator | Red Stompy | Eldrazi | Mystic Forge Combo | Nadu Combo | Red Painter | Doomsday | Sneak and Show | Oops All Spells | Other Aggro | Stoneblade |
+------------------------------------------------------------------------+---------+-------------+---------------+------------+---------+--------------------+------------+-------------+----------+----------------+-----------------+-------------+------------+
| Legacy Challenge 32 2024-09-01 (2024-09-01)                            |      54 |           8 |             6 |          1 |       4 |                  1 |          1 |           4 |        0 |              1 |               1 |           0 |          0 |
| European Legacy Masters 2024 (2024-09-07)                              |     112 |           6 |            17 |          2 |       5 |                  1 |          0 |           6 |        5 |              0 |               0 |           0 |          0 |
| Legacy Challenge 32 2024-09-08 (2024-09-08)                            |      53 |           6 |             6 |          3 |       5 |                  1 |          0 |           4 |        1 |              0 |               0 |           0 |          0 |
| Legacy Challenge 32 2024-09-15 (2024-09-15)                            |      39 |           6 |             3 |          2 |       5 |                  2 |          0 |           2 |        1 |              2 |               1 |           0 |          0 |
| Legacy Challenge 32 2024-09-29 (2024-09-29)                            |      32 |           3 |             4 |          3 |       2 |                  0 |          1 |           3 |        0 |              2 |               0 |           0 |          0 |
| Buffalo Chicken Dip Legacy 17 (2024-10-12)                             |      42 |           1 |             7 |          1 |       5 |                  2 |          0 |           4 |        0 |              3 |               1 |           1 |          0 |
| DMV Legacy League Invitational (2024-10-12)                            |      43 |           0 |             6 |          3 |       3 |                  0 |          0 |           2 |        0 |              0 |               0 |           1 |          0 |
| 2024 Asia Legacy Championship (2024-10-12)                             |     614 |          35 |           130 |         35 |      52 |                 12 |         19 |          33 |       13 |             26 |              10 |           3 |          3 |
| Legacy Challenge 32 2024-10-13 (2024-10-13)                            |      37 |           4 |             4 |          4 |       5 |                  2 |          0 |           0 |        2 |              0 |               0 |           0 |          0 |
| Legacy Challenge 32 2024-10-16 (2024-10-16)                            |      38 |           2 |             7 |          3 |       7 |                  1 |          1 |           1 |        1 |              2 |               1 |           0 |          0 |
| Legacy Challenge 32 2024-10-18 (2024-10-18)                            |      43 |           2 |             5 |          7 |       7 |                  4 |          0 |           3 |        3 |              0 |               0 |           0 |          0 |
| Buffalo Chicken Dip Legacy 15 (2024-10-19)                             |      44 |           1 |             5 |          6 |       4 |                  1 |          3 |           4 |        1 |              0 |               0 |           0 |          0 |
| Legacy Challenge 32 2024-10-19 (2024-10-19)                            |      49 |           2 |            11 |          9 |       5 |                  1 |          2 |           2 |        2 |              1 |               1 |           0 |          0 |
| Legacy Challenge 32 2024-10-20 (2024-10-20)                            |      41 |           4 |             3 |          6 |       3 |                  1 |          0 |           2 |        3 |              1 |               1 |           0 |          1 |
| Legacy Challenge 64 2024-10-20 (2024-10-20)                            |      80 |           6 |            11 |          7 |       8 |                  4 |          3 |           6 |        3 |              1 |               0 |           0 |          0 |
| Legacy Challenge 32 2024-10-23 (2024-10-23)                            |      53 |           4 |            10 |          7 |       5 |                  2 |          1 |           1 |        2 |              1 |               1 |           0 |          1 |
| Legacy Challenge 32 2024-10-25 (2024-10-25)                            |      47 |           3 |             5 |          5 |       5 |                  5 |          3 |           4 |        0 |              0 |               1 |           0 |          1 |
| BLACK - FRI - 12:00 PM - Legacy Cup - MagicCon: Las Vegas (2024-10-25) |     123 |          10 |            17 |          5 |       3 |                  2 |          2 |           6 |        3 |              3 |               0 |           0 |          2 |
| Legacy Challenge 32 2024-10-26 (2024-10-26)                            |      45 |           6 |             7 |          6 |       5 |                  1 |          3 |           0 |        2 |              1 |               0 |           0 |          0 |
