ANT -- 1.77% of field, won 43.28% of matches
+--------------------------------+--------+---------+--------------+----------------------+----------------+---------------+-------------------+------------------------------+
| ANT vs.                        | Record |   Win % | # of Matches | 95.0% Conf. Interval | Overall Record | Overall Win % | # Overall Matches | Overall 95.0% Conf. Interval |
+--------------------------------+--------+---------+--------------+----------------------+----------------+---------------+-------------------+------------------------------+
| Dimir Tempo                    | 3-5-0  |  37.50% |            8 |          13.7--69.4% |    10-14-0     |        41.67% |                24 |                  24.5--61.2% |
| UB Reanimator                  | 6-7-0  |  46.15% |           13 |          23.2--70.9% |    20-23-0     |        46.51% |                43 |                  32.5--61.1% |
| Red Stompy                     | 1-2-0  |  33.33% |            3 |           6.1--79.2% |     8-6-0      |        57.14% |                14 |                  32.6--78.6% |
| Eldrazi                        | 2-6-0  |  25.00% |            8 |           7.1--59.1% |     6-13-0     |        31.58% |                19 |                  15.4--54.0% |
| Mystic Forge Combo             | 1-1-0  |  50.00% |            2 |           9.5--90.5% |     6-6-0      |        50.00% |                12 |                  25.4--74.6% |
| Nadu Combo                     | 2-0-0  | 100.00% |            2 |         34.2--100.0% |     6-2-0      |        75.00% |                 8 |                  40.9--92.9% |
| Red Painter                    | 4-3-0  |  57.14% |            7 |          25.0--84.2% |     10-5-0     |        66.67% |                15 |                  41.7--84.8% |
| Doomsday                       | 3-2-0  |  60.00% |            5 |          23.1--88.2% |     4-4-0      |        50.00% |                 8 |                  21.5--78.5% |
| Sneak and Show                 | 0-2-0  |   0.00% |            2 |           0.0--65.8% |     4-10-0     |        28.57% |                14 |                  11.7--54.6% |
| Cephalid Breakfast             | 1-2-0  |  33.33% |            3 |           6.1--79.2% |     1-5-0      |        16.67% |                 6 |                   3.0--56.4% |
| Death and Taxes (Yorion)       | 2-0-0  | 100.00% |            2 |         34.2--100.0% |     6-1-0      |        85.71% |                 7 |                  48.7--97.4% |
| Oops All Spells                | 0-2-0  |   0.00% |            2 |           0.0--65.8% |     1-2-0      |        33.33% |                 3 |                   6.1--79.2% |
| Cradle Control                 | 1-0-0  | 100.00% |            1 |         20.7--100.0% |     1-0-0      |       100.00% |                 1 |                 20.7--100.0% |
| Jeskai Control                 | 0-0-0  |     --- |            0 |                 ---- |     1-3-0      |        25.00% |                 4 |                   4.6--69.9% |
| Elves                          | 0-0-0  |     --- |            0 |                 ---- |     0-0-0      |           --- |                 0 |                         ---- |
| Beanstalk Control (Non-Yorion) | 0-1-0  |   0.00% |            1 |           0.0--79.3% |     0-1-0      |         0.00% |                 1 |                   0.0--79.3% |
| Unknown Deck                   | 0-0-0  |     --- |            0 |                 ---- |     0-0-0      |           --- |                 0 |                         ---- |
| Other Aggro                    | 0-0-0  |     --- |            0 |                 ---- |     0-0-0      |           --- |                 0 |                         ---- |
| BR Reanimator                  | 0-1-0  |   0.00% |            1 |           0.0--79.3% |     1-1-0      |        50.00% |                 2 |                   9.5--90.5% |
| Lands                          | 1-0-0  | 100.00% |            1 |         20.7--100.0% |     3-0-0      |       100.00% |                 3 |                 43.9--100.0% |
