Mystic Forge Combo -- 5.64% of field, won 51.48% of matches
+--------------------------------+---------+---------+--------------+----------------------+----------------+---------------+-------------------+------------------------------+
| Mystic Forge Combo vs.         | Record  |   Win % | # of Matches | 95.0% Conf. Interval | Overall Record | Overall Win % | # Overall Matches | Overall 95.0% Conf. Interval |
+--------------------------------+---------+---------+--------------+----------------------+----------------+---------------+-------------------+------------------------------+
| Dimir Tempo                    | 19-24-0 |  44.19% |           43 |          30.4--58.9% |    25-36-0     |        40.98% |                61 |                  29.5--53.5% |
| UB Reanimator                  | 13-16-0 |  44.83% |           29 |          28.4--62.5% |    44-45-0     |        49.44% |                89 |                  39.3--59.6% |
| Red Stompy                     | 21-8-0  |  72.41% |           29 |          54.3--85.3% |    43-21-0     |        67.19% |                64 |                  55.0--77.4% |
| Eldrazi                        | 11-14-0 |  44.00% |           25 |          26.7--62.9% |    33-29-0     |        53.23% |                62 |                  41.0--65.1% |
| Nadu Combo                     |  8-6-0  |  57.14% |           14 |          32.6--78.6% |     14-8-0     |        63.64% |                22 |                  43.0--80.3% |
| Red Painter                    |  8-6-0  |  57.14% |           14 |          32.6--78.6% |    21-12-0     |        63.64% |                33 |                  46.6--77.8% |
| Doomsday                       | 1-10-0  |   9.09% |           11 |           1.6--37.7% |     1-12-0     |         7.69% |                13 |                   1.4--33.3% |
| Sneak and Show                 |  7-7-0  |  50.00% |           14 |          26.8--73.2% |    12-11-0     |        52.17% |                23 |                  33.0--70.8% |
| Cephalid Breakfast             |  0-1-0  |   0.00% |            1 |           0.0--79.3% |     2-6-0      |        25.00% |                 8 |                   7.1--59.1% |
| Death and Taxes (Yorion)       |  3-1-0  |  75.00% |            4 |          30.1--95.4% |     6-3-0      |        66.67% |                 9 |                  35.4--87.9% |
| Oops All Spells                |  2-4-0  |  33.33% |            6 |           9.7--70.0% |     5-8-0      |        38.46% |                13 |                  17.7--64.5% |
| Cradle Control                 |  4-0-0  | 100.00% |            4 |         51.0--100.0% |     4-1-0      |        80.00% |                 5 |                  37.6--96.4% |
| Jeskai Control                 |  2-0-0  | 100.00% |            2 |         34.2--100.0% |     6-4-0      |        60.00% |                10 |                  31.3--83.2% |
| Elves                          |  0-3-0  |   0.00% |            3 |           0.0--56.1% |     0-3-0      |         0.00% |                 3 |                   0.0--56.1% |
| ANT                            |  1-1-0  |  50.00% |            2 |           9.5--90.5% |     6-6-0      |        50.00% |                12 |                  25.4--74.6% |
| Beanstalk Control (Non-Yorion) |  1-2-0  |  33.33% |            3 |           6.1--79.2% |     5-2-0      |        71.43% |                 7 |                  35.9--91.8% |
| Unknown Deck                   |  0-1-0  |   0.00% |            1 |           0.0--79.3% |     0-1-0      |         0.00% |                 1 |                   0.0--79.3% |
| Other Aggro                    |  1-0-0  | 100.00% |            1 |         20.7--100.0% |     1-0-0      |       100.00% |                 1 |                 20.7--100.0% |
