Oops All Spells -- 2.19% of field, won 59.50% of matches
+--------------------------------+---------+---------+--------------+----------------------+----------------+---------------+-------------------+------------------------------+
| Oops All Spells vs.            | Record  |   Win % | # of Matches | 95.0% Conf. Interval | Overall Record | Overall Win % | # Overall Matches | Overall 95.0% Conf. Interval |
+--------------------------------+---------+---------+--------------+----------------------+----------------+---------------+-------------------+------------------------------+
| Dimir Tempo                    | 11-10-0 |  52.38% |           21 |          32.4--71.7% |    16-16-0     |        50.00% |                32 |                  33.6--66.4% |
| UB Reanimator                  |  8-5-0  |  61.54% |           13 |          35.5--82.3% |    15-18-0     |        45.45% |                33 |                  29.8--62.0% |
| Red Stompy                     |  7-3-0  |  70.00% |           10 |          39.7--89.2% |     12-9-0     |        57.14% |                21 |                  36.5--75.5% |
| Eldrazi                        |  6-4-0  |  60.00% |           10 |          31.3--83.2% |     13-9-0     |        59.09% |                22 |                  38.7--76.7% |
| Mystic Forge Combo             |  4-2-0  |  66.67% |            6 |          30.0--90.3% |     8-5-0      |        61.54% |                13 |                  35.5--82.3% |
| Nadu Combo                     |  3-1-0  |  75.00% |            4 |          30.1--95.4% |     5-4-0      |        55.56% |                 9 |                  26.7--81.1% |
| Red Painter                    |  4-3-0  |  57.14% |            7 |          25.0--84.2% |     5-8-0      |        38.46% |                13 |                  17.7--64.5% |
| Doomsday                       |  2-2-0  |  50.00% |            4 |          15.0--85.0% |     3-3-0      |        50.00% |                 6 |                  18.8--81.2% |
| Sneak and Show                 |  1-4-0  |  20.00% |            5 |           3.6--62.4% |     4-4-0      |        50.00% |                 8 |                  21.5--78.5% |
| Cephalid Breakfast             |  1-1-0  |  50.00% |            2 |           9.5--90.5% |     1-2-0      |        33.33% |                 3 |                   6.1--79.2% |
| Death and Taxes (Yorion)       |  5-0-0  | 100.00% |            5 |         56.6--100.0% |     5-2-0      |        71.43% |                 7 |                  35.9--91.8% |
| Cradle Control                 |  2-0-0  | 100.00% |            2 |         34.2--100.0% |     2-0-0      |       100.00% |                 2 |                 34.2--100.0% |
| Jeskai Control                 |  0-0-0  |     --- |            0 |                 ---- |     1-1-0      |        50.00% |                 2 |                   9.5--90.5% |
| Elves                          |  0-0-0  |     --- |            0 |                 ---- |     0-1-0      |         0.00% |                 1 |                   0.0--79.3% |
| ANT                            |  2-0-0  | 100.00% |            2 |         34.2--100.0% |     2-1-0      |        66.67% |                 3 |                  20.8--93.9% |
| Beanstalk Control (Non-Yorion) |  2-0-0  | 100.00% |            2 |         34.2--100.0% |     2-0-0      |       100.00% |                 2 |                 34.2--100.0% |
| Unknown Deck                   |  0-0-0  |     --- |            0 |                 ---- |     0-0-0      |           --- |                 0 |                         ---- |
| Other Aggro                    |  0-1-0  |   0.00% |            1 |           0.0--79.3% |     2-1-0      |        66.67% |                 3 |                  20.8--93.9% |
| BR Reanimator                  |  0-1-0  |   0.00% |            1 |           0.0--79.3% |     1-1-0      |        50.00% |                 2 |                   9.5--90.5% |
| Lands                          |  1-1-0  |  50.00% |            2 |           9.5--90.5% |     2-1-0      |        66.67% |                 3 |                  20.8--93.9% |
| Dredge                         |  0-0-0  |     --- |            0 |                 ---- |     0-0-0      |           --- |                 0 |                         ---- |
| Mono Green Cloudpost           |  1-0-0  | 100.00% |            1 |         20.7--100.0% |     1-1-0      |        50.00% |                 2 |                   9.5--90.5% |
| Esper Control                  |  1-1-0  |  50.00% |            2 |           9.5--90.5% |     1-1-0      |        50.00% |                 2 |                   9.5--90.5% |
| Golgari Depths                 |  0-1-0  |   0.00% |            1 |           0.0--79.3% |     0-1-0      |         0.00% |                 1 |                   0.0--79.3% |
| Ruby Storm                     |  1-2-0  |  33.33% |            3 |           6.1--79.2% |     1-2-0      |        33.33% |                 3 |                   6.1--79.2% |
