date,name,deck,result
11/28/17,Hulahula,4c Loam,1
11/28/17,Hulahula,Czech pile,-1
11/29/17,Hulahula,RG Lands,1
11/29/17,Hulahula,Turbo Depths,-1
11/29/17,Hulahula,Miracles,1
02/12/17,Hulahula,4c Loam,1
02/12/17,Hulahula,RG Lands,1
02/12/17,Hulahula,Grixis Control,1
02/12/17,Hulahula,Czech pile,-1
02/12/17,Hulahula,Grixis Delver,1
03/12/17,Hulahula,Czech pile,1
03/12/17,Hulahula,4c Loam,1
03/12/17,Hulahula,Hypergenesis,1
03/12/17,Hulahula,Sneak and Show,1
03/12/17,Hulahula,U/B Reanimator,-1
03/12/17,Hulahula,Jund,-1
03/12/17,Hulahula,Pox,1
03/12/17,Hulahula,Tes,-1
03/12/17,Hulahula,Miracles,-1
03/12/17,Hulahula,Eldrazi Post,1
12/15/17,Monkeyscantcry,Grixis Delver,-1
12/15/17,Monkeyscantcry,Dredge,-1
12/15/17,Monkeyscantcry,Death & Taxes,-1
12/15/17,Monkeyscantcry,Grixis Delver,1
12/15/17,Monkeyscantcry,UR Delver,-1
12/17/17,Luchius,BR Reanimator,-1
12/17/17,Luchius,Doomsday,-1
12/17/17,Luchius,Czech Pile,1
12/17/17,Luchius,Eldrazi,1
12/17/17,Luchius,Grixis Delver,1
12/10/17,g0ld_rook,Nic Fit,-1
12/10/17,g0ld_rook,Grixis Delver,1
12/10/17,g0ld_rook,Grixis Delver,-1
12/10/17,g0ld_rook,Grixis Delver,1
12/10/17,g0ld_rook,UR Delver,-1
12/15/17,g0ld_rook,UW Standstill,1
12/15/17,g0ld_rook,ANT,1
12/15/17,g0ld_rook,Show and Tell,1
12/15/17,g0ld_rook,Miracles,-1
12/15/17,g0ld_rook,Soldier Stompy,1
12/18/17,CalebD,BR Reanimator,-1
12/18/17,CalebD,BR Reanimator,1
12/18/17,CalebD,Miracles,1
12/18/17,CalebD,Nic Shift,1
12/18/17,CalebD,Doomsday,1
10/06/17,g0ld_rook,Turbo Depths,-1
10/06/17,g0ld_rook,Nic Fit,-1
10/06/17,g0ld_rook,Deathblade,-1
10/06/17,g0ld_rook,Show and Tell,1
10/06/17,g0ld_rook,ANT,-1
12/26/17,Hulahula,RUG Delver,1
12/26/17,Hulahula,Miracles,1
12/26/17,Hulahula,Death & Taxes,1
12/26/17,Hulahula,Jund,-1
12/26/17,Hulahula,RG Lands,-1
04/10/17,g0ld_rook,RG Lands,1
04/10/17,g0ld_rook,Elves,-1
04/10/17,g0ld_rook,Elves,1
04/10/17,g0ld_rook,UB Delver,1
04/10/17,g0ld_rook,BUG Delver,-1
07/10/17,g0ld_rook,Czech Pile,-1
07/10/17,g0ld_rook,ANT,-1
07/10/17,g0ld_rook,Show and Tell,1
07/10/17,g0ld_rook,Elves,-1
07/10/17,g0ld_rook,Show and Tell,1
12/17/17,g0ld_rook,UB Shadow,1
12/17/17,g0ld_rook,Infect,1
12/17/17,g0ld_rook,Miracles,-1
12/17/17,g0ld_rook,Grixis Delver,1
12/17/17,g0ld_rook,ANT,-1
12/17/17,g0ld_rook,Eldrazi,1
12/17/17,g0ld_rook,Deathblade,1
12/17/17,g0ld_rook,Turbo Depths,1
12/17/17,g0ld_rook,Turbo Depths,1
12/17/17,g0ld_rook,Reanimator,-1
12/19/17,g0ld_rook,Elves,1
12/19/17,g0ld_rook,Miracles,1
12/19/17,g0ld_rook,Death and Taxes,-1
12/19/17,g0ld_rook,BR Reanimator,-1
12/19/17,g0ld_rook,Death and Taxes,-1
01/02/18,Hulahula,Eldrazi Post,1
01/02/18,Hulahula,Solider Stompy,1
01/02/18,Hulahula,ANT,-1
01/02/18,Hulahula,BUG Nic-Fit,1
01/02/18,Hulahula,TES,1
12/25/17,g0ld_rook,Deathblade,-1
12/25/17,g0ld_rook,Eldrazi,1
12/25/17,g0ld_rook,Bant Miracles,1
12/25/17,g0ld_rook,Miracles,-1
12/25/17,g0ld_rook,Infect,1
02/01/18,d8dk32,Czech Pile,1
02/01/18,d8dk32,Death and Taxes,-1
02/01/18,d8dk32,ANT,-1
02/01/18,d8dk32,Death and Taxes,1
