date,run,deck,result
07/05/17,1,4c Loam,-1
07/05/17,2,Jeskai Stoneblade,1
07/05/17,2,4c Loam,1
07/05/17,2,BR Reanimator,1
07/06/17,2,Turbo Eldrazi,1
07/06/17,2,BUG CoCo,1
07/07/17,3,BUG Delver,1
07/08/17,3,UR Delver,-1
07/08/17,3,Grixis Control,1
07/08/17,3,UR Delver,-1
07/08/17,3,Reanimator Depths,1
07/09/17,4,Turbo Depths,-1
07/09/17,4,ANT,1
07/09/17,4,Sneak and Show,1
07/09/17,4,Punishing Thieves,1
07/09/17,4,Death and Taxes,1
07/10/17,5,Grixis Delver,-1
07/10/17,5,Bomberman,1
07/10/17,5,UR As Foretold,-1
07/10/17,5,ANT,-1
07/10/17,6,ANT,-1
07/10/17,7,4c Loam,-1
07/10/17,8,Grixis Delver,-1
07/10/17,9,Merfolk,1
07/10/17,9,Turbo Depths,-1
07/10/17,10,Nic Fit,1
07/10/17,10,Enchantress,-1
07/10/17,11,Enchantress,1
07/10/17,11,ANT,1
07/10/17,11,Grixis Delver,1
07/10/17,11,Reanimator Depths,1
07/10/17,11,Grixis Delver,1
07/11/17,12,ANT,1
07/11/17,12,Grixis Delver,-1
07/11/17,12,BUG Delver,1
07/11/17,12,Jund,1
07/11/17,12,Eldrazi Stompy,1
07/12/17,15,Discard Pile,1
07/12/17,15,ANT,1
07/12/17,15,Czech Pile,-1
07/12/17,15,Sneak and Show,-1
07/12/17,15,TES,-1
07/12/17,16,Elves,-1
07/12/17,17,Czech Pile,1
07/12/17,17,BUG Delver,-1
07/12/17,18,BUG Delver,1
07/12/17,18,Czech Pile,1
07/12/17,18,4c Loam,1
07/12/17,18,Red Storm,1
07/13/17,18,Czech Pile,1
07/14/17,19,Grixis Delver,1
07/14/17,19,Eldrazi Stompy,1
07/14/17,19,Death and Taxes,-1
07/14/17,19,Grixis Control,1
07/14/17,19,UR Delver,1
07/14/17,20,Red Stompy,-1
07/14/17,21,UR Delver,1
07/14/17,21,Enchantress,1
07/14/17,21,Grixis Delver,1
07/15/17,21,Grixis Delver,-1
07/15/17,21,Grixis Delver,-1
07/15/17,22,BR Reanimator,1
07/15/17,22,Maverick Junk,-1
07/15/17,22,BR Reanimator,1
07/15/17,22,TES,1
07/15/17,22,TES,1
07/15/17,23,ANT,1
07/15/17,23,Maverick GW,-1
07/15/17,24,Sneak and Show,1
07/15/17,24,Grixis Delver,1
07/15/17,24,Food Chain,-1
07/15/17,24,TES,1
07/15/17,24,Czech Pile,-1
07/15/17,25,Jeskai Stoneblade,1
07/16/17,25,Lands,1
07/16/17,25,TES,1
07/17/17,25,Pox,1
07/17/17,25,TES,1
07/18/17,26,Jeskai Stoneblade,1
07/18/17,26,Pox,1
07/19/17,26,RUG Delver,1
07/19/17,26,Grixis Delver,1
07/19/17,26,Czech Pile,1
07/21/17,28,Dredge,-1
07/21/17,28,Belcher,-1
07/21/17,29,Red Storm,1
07/21/17,29,4c Loam,1
07/21/17,29,Turbo Eldrazi,1
07/21/17,29,Sneak and Show,1
07/21/17,29,RUG Delver,1
07/21/17,30,Aluren,1
07/21/17,30,Jeskai Stoneblade,-1
07/21/17,30,Grixis Delver,1
07/21/17,30,Czech Pile,1
07/21/17,30,Grixis Delver,1
07/22/17,31,BUG Delver,-1
07/22/17,32,Reanimator Depths,-1
07/22/17,34,ANT,1
07/22/17,34,Death and Taxes,1
07/22/17,34,RIP Helm Field,-1
07/22/17,34,BR Reanimator,-1
07/22/17,34,ANT,1
07/25/17,37,Czech Pile,-1
07/25/17,37,Esper Mentor,1
07/25/17,37,Grixis Control,-1
07/25/17,37,TES,1
07/25/17,37,ANT,-1
07/25/17,38,Czech Pile,1
07/25/17,38,ANT,-1
07/25/17,38,ANT,1
07/25/17,38,Grixis Control,1
07/25/17,38,Grixis Delver,1
07/25/17,39,Miracles,1
07/25/17,39,Grixis Delver,1
07/25/17,39,Czech Pile,1
07/25/17,39,Grixis Delver,-1
07/25/17,39,Grixis Delver,1
07/27/17,40,BUG Delver,-1
07/27/17,41,Infect,1
07/27/17,41,ANT,-1
07/27/17,42,Reanimator Depths,-1
07/27/17,43,Jeskai Stoneblade,1
07/27/17,43,4c Loam,-1
07/28/17,48,UR Delver,1
07/28/17,48,Lands,-1
07/28/17,48,Turbo Eldrazi,1
07/28/17,48,Esper Stoneblade,1
07/28/17,48,Sneak and Show,1
07/28/17,50,BR Reanimator,1
07/28/17,50,Eldrazi Stompy,1
07/28/17,50,Reanimator Depths,1
07/29/17,50,Death and Taxes,1
07/29/17,50,Czech Pile,1
07/31/17,51,ANT,-1
07/31/17,51,Czech Pile,1
07/31/17,51,Sneak and Show,1
07/31/17,51,Grixis Delver,1
07/31/17,51,ANT,-1
07/31/17,52,BR Reanimator,-1
07/31/17,52,Elves,-1
07/31/17,53,Elves,-1
07/31/17,53,Grixis Delver,-1
07/31/17,54,Czech Pile,-1
07/31/17,55,Reanimator Depths,1
07/31/17,55,Soldier Stompy,1
07/31/17,55,TES,1
07/31/17,55,MUD,1
07/31/17,55,Turbo Depths,-1
08/01/17,58,Grixis Delver,1
08/01/17,58,Turbo Eldrazi,1
08/01/17,58,Death and Taxes,-1
08/01/17,58,Lands,1
08/01/17,58,Miracles,1
08/02/17,59,Death and Taxes,1
08/02/17,59,Czech Pile,-1
08/02/17,59,UR Delver,1
08/02/17,59,Standstill,1
08/02/17,59,Reanimator Depths,-1
08/02/17,60,BUG Delver,1
08/02/17,60,Czech Pile,1
08/02/17,60,Maverick,-1
08/02/17,60,Grixis Control,-1
08/02/17,60,Turbo Depths,-1
08/02/17,61,Grixis Delver,1
08/02/17,61,ANT,1
08/03/17,61,Esper Delver,-1
08/03/17,61,Grixis Delver,1
08/03/17,61,Death and Taxes,-1
08/03/17,62,Miracles,1
08/03/17,62,BUG Delver,1
08/03/17,62,ANT,-1
08/03/17,62,Turbo Depths,-1
08/03/17,62,RUG Delver,1
08/03/17,63,RUG Delver,1
08/04/17,63,Turbo Eldrazi,1
08/04/17,63,TES,1
08/04/17,63,Death and Taxes,-1
08/04/17,63,Grixis Delver,-1
08/04/17,64,Czech Pile,-1
08/04/17,65,Czech Pile,-1
08/04/17,66,Grixis Delver,1
08/04/17,66,Grixis Delver,1
08/04/17,66,ANT,1
08/04/17,66,Death and Taxes,-1
08/04/17,66,ANT,1
08/04/17,67,Nic Fit,1
08/04/17,67,Grixis Delver,1
08/04/17,67,Czech Pile,1
08/04/17,67,Belcher,1
08/04/17,67,Turbo Depths,1
08/08/17,68,Grixis Delver,1
08/08/17,68,Turbo Eldrazi,1
08/08/17,68,Czech Pile,1
08/08/17,68,Food Chain,1
08/08/17,68,Burn,1
08/09/17,69,TES,-1
08/09/17,69,BUG Delver,1
08/09/17,69,BUG Delver,1
08/09/17,69,BUG Delver,-1
08/09/17,69,Elves,-1
08/09/17,70,Czech Pile,1
08/09/17,70,Czech Pile,1
08/09/17,70,Grixis Delver,-1
08/09/17,70,ANT,1
08/09/17,70,Grixis Delver,-1
08/10/17,71,Belcher,1
08/10/17,71,Grixis Delver,1
08/10/17,71,Aluren,-1
08/10/17,71,ANT,1
08/10/17,71,Grixis Fairies,1
08/10/17,72,Grixis Delver,1
08/10/17,72,Turbo Eldrazi,1
08/10/17,72,Grixis Delver,-1
08/10/17,72,Death and Taxes,1
08/10/17,72,Red Storm,1
08/12/17,74,Czech Pile,1
08/12/17,74,Elves,-1
08/12/17,74,Elves,-1
08/12/17,74,TES,1
08/12/17,74,BUG Delver,1
