source,date,w,l,deck
eldrazi_postban,,0,0,4c loam
eldrazi_postban,,0,1,grixis delver
eldrazi_postban,,1,1,grixis delver
eldrazi_postban,,2,1,dark bant
eldrazi_postban,,3,1,grixis delver
eldrazi_postban,,0,0,uwr standstill
eldrazi_postban,,1,0,shardless bug
eldrazi_postban,,1,1,ur stuff
eldrazi_postban,,2,1,tes
eldrazi_postban,,3,1,grixis delver
eldrazi_postban,,0,0,elves
eldrazi_postban,,0,1,br reanimator
eldrazi_postban,,1,1,burn
eldrazi_postban,,2,1,ant
eldrazi_postban,,3,1,bug delver
eldrazi_postban,,0,0,uw b2b
eldrazi_postban,,0,1,br reanimator
eldrazi_postban,,1,1,shardless bug
eldrazi_postban,,1,2,gb gsz
eldrazi_postban,,2,2,grixis delver
eldrazi_postban,,0,0,grixis delver
eldrazi_postban,,1,0,tes
eldrazi_postban,,1,1,4c cascade
eldrazi_postban,,2,1,ub control
eldrazi_postban,,3,1,dark bant
eldrazi_postban,,0,0,ant
eldrazi_postban,,0,1,ur landstill
eldrazi_postban,,0,2,death and taxes
eldrazi_postban,,0,0,aluren
eldrazi_postban,,1,0,nic fit
eldrazi_postban,,2,0,stoneblade
eldrazi_postban,,3,0,ant
eldrazi_postban,,4,0,grixis control
eldrazi_postban,,0,0,elves
eldrazi_postban,,1,0,uw stoneblade
eldrazi_postban,,2,0,ant
eldrazi_postban,,3,0,goblins
eldrazi_postban,,3,1,grixis delver
eldrazi_postban,,0,0,show and tell
eldrazi_postban,,1,0,4c delver
eldrazi_postban,,1,1,burn
eldrazi_postban,,2,1,eldrazi
eldrazi_postban,,3,1,grixis delver
eldrazi_postban,,0,0,aluren
eldrazi_postban,,1,0,tes
eldrazi_postban,,1,1,jund
eldrazi_postban,,2,1,tezzeret
eldrazi_postban,,2,2,grixis delver
eldrazi_postban,,0,0,lands
eldrazi_postban,,0,1,dredge
eldrazi_postban,,0,2,ur stuff
eldrazi_postban,,1,2,miracles
eldrazi_postban,,2,2,elves
eldrazi_postban,,0,0,burn
eldrazi_postban,,1,0,aluren
eldrazi_postban,,1,1,aluren
eldrazi_postban,,2,1,redsneak
eldrazi_postban,,3,1,br reanimator
eldrazi_postban,,0,0,ant
eldrazi_postban,,1,0,elves
eldrazi_postban,,2,0,ub reanimator
eldrazi_postban,,2,1,grixis delver
eldrazi_postban,,3,1,miracles
eldrazi_postban,,0,0,br reanimator
eldrazi_postban,,1,0,bug control
eldrazi_postban,,2,0,show and tell
eldrazi_postban,,3,0,aluren
eldrazi_postban,,3,1,doomsday
eldrazi_postban,,0,0,br reanimator
eldrazi_postban,,1,0,maverick
eldrazi_postban,,2,0,dark bant
eldrazi_postban,,2,1,dark bant
eldrazi_postban,,2,2,zoo
eldrazi_postban,,0,0,tezzeret
eldrazi_postban,,1,0,food chain
eldrazi_postban,,2,0,ub standstill
eldrazi_postban,,3,0,lands
eldrazi_postban,,3,1,show and tell
eldrazi_postban,,0,0,grixis delver
eldrazi_postban,,1,0,ub reanimator
eldrazi_postban,,2,0,br reanimator
eldrazi_postban,,3,0,maverick
eldrazi_postban,,4,0,br reanimator
eldrazi_postban,,0,0,grixis delver
eldrazi_postban,,1,0,burn
eldrazi_postban,,2,0,grixis delver
eldrazi_postban,,2,1,belcher
eldrazi_postban,,2,2,bug delver
eldrazi_postban,,0,0,stoneblade
eldrazi_postban,,1,0,veteran bug
eldrazi_postban,,1,1,burn
eldrazi_postban,,2,1,ant
eldrazi_postban,,3,1,lands
eldrazi_postban,,0,0,grixis control
eldrazi_postban,,0,1,shardless bug
eldrazi_postban,,1,1,nic fit
eldrazi_postban,,2,1,bug delver
eldrazi_postban,,2,2,ur delver
eldrazi_postban,,0,0,elves
eldrazi_postban,,1,0,grixis delver
eldrazi_postban,,1,1,lands
