deck1,deck2,n,w
merfolk,zoo,488,147
maverick,rug delver,460,246
merfolk,stoneblade,432,184
rug delver,stoneblade,414,213
goblins,merfolk,363,213
dredge,merfolk,349,163
counter-top,merfolk,297,116
maverick,stoneblade,295,157
merfolk,team america,286,171
merfolk,reanimator,277,172
junk,merfolk,273,161
burn,merfolk,253,89
affinity,merfolk,234,119
ant,merfolk,223,90
goblins,zoo,212,90
dredge,stoneblade,211,113
merfolk,rug delver,210,107
reanimator,stoneblade,207,80
elves,merfolk,196,115
reanimator,rug delver,191,76
stoneblade,zoo,190,94
rug delver,sneak and show,190,111
dredge,zoo,186,81
burn,stoneblade,183,78
goblins,rug delver,178,90
dredge,rug delver,178,68
dredge,goblins,178,86
goblins,stoneblade,173,93
burn,rug delver,164,66
bant,merfolk,164,95
reanimator,zoo,162,89
counter-top,zoo,162,69
counter-top,goblins,161,63
belcher,merfolk,159,53
stoneblade,team america,158,85
elves,stoneblade,152,70
burn,maverick,147,59
burn,dredge,146,51
merfolk,painted stone,144,77
goblins,junk,143,54
dredge,maverick,141,53
rug delver,u/r delver,140,97
burn,goblins,140,78
maverick,merfolk,139,101
affinity,stoneblade,138,64
maverick,reanimator,136,88
miracles,rug delver,134,60
team america,zoo,132,61
ant,zoo,132,76
merfolk,show and tell,130,97
maverick,u/r delver,127,73
elves,rug delver,126,57
goblins,maverick,125,60
merfolk,survival,124,49
bant,stoneblade,124,69
ant,goblins,124,77
affinity,goblins,124,72
counter-top,dredge,121,54
affinity,dredge,121,56
merfolk,no rug,120,57
dredge,reanimator,120,53
merfolk,no bant,117,73
maverick,sneak and show,117,65
junk,zoo,116,47
affinity,rug delver,114,40
goblins,reanimator,113,49
ant,counter-top,113,36
enchantress,merfolk,112,62
burn,reanimator,112,30
counter-top,reanimator,111,61
belcher,goblins,111,75
belcher,stoneblade,110,45
counter-top,junk,107,49
lands,merfolk,106,67
stoneblade,u/r delver,105,61
miracles,stoneblade,105,51
affinity,burn,105,47
ant,dredge,104,54
maverick,miracles,103,47
burn,zoo,102,45
affinity,zoo,101,41
dredge,junk,100,48
merfolk,u/w stoneblade,98,54
belcher,rug delver,98,32
merfolk,u/w landstill,97,49
elves,maverick,96,56
dredge,team america,96,46
dredge,elves,96,55
sneak and show,stoneblade,94,56
belcher,zoo,94,60
belcher,reanimator,90,26
no rug,stoneblade,89,52
junk,team america,88,40
counter-top,survival,86,27
affinity,junk,86,37
hive mind,merfolk,85,41
high tide,merfolk,85,34
elves,goblins,85,46
burn,elves,85,38
merfolk,metalworker,84,40
bant,zoo,83,47
omnitell,rug delver,82,34
ant,stoneblade,81,36
painted stone,stoneblade,80,34
metalworker,stoneblade,80,24
junk,stoneblade,80,38
affinity,counter-top,79,23
goblins,survival,76,30
elves,zoo,76,33
belcher,dredge,76,42
high tide,stoneblade,75,38
belcher,burn,75,63
affinity,team america,75,42
high tide,rug delver,74,33
elves,reanimator,74,15
pox,rug delver,73,42
affinity,elves,73,31
ant,reanimator,72,29
aggro loam,merfolk,72,38
stoneblade,u/w landstill,71,38
dredge,sneak and show,71,28
bug,rug delver,71,21
reanimator,u/r delver,70,40
belcher,maverick,70,50
bant,dredge,70,40
ant,team america,70,24
ant,junk,70,31
affinity,maverick,70,27
lands,zoo,68,37
burn,counter-top,68,24
painted stone,zoo,67,32
hive mind,stoneblade,67,32
bant,rug delver,67,24
no rug,zoo,66,34
stoneblade,u/w stoneblade,64,27
sneak and show,u/r delver,64,41
belcher,counter-top,64,22
bant,team america,64,36
reanimator,team america,63,27
junk,show and tell,63,39
goblins,show and tell,63,30
goblins,miracles,63,33
counter-top,team america,63,23
affinity,ant,63,19
burn,team america,62,35
enchantress,stoneblade,61,36
pox,stoneblade,60,23
goblins,team america,60,26
dredge,painted stone,60,19
dredge,lands,60,15
burn,u/r delver,60,30
burn,junk,60,38
painted stone,team america,59,26
affinity,reanimator,59,21
survival,zoo,58,35
stoneblade,tes,58,32
rug delver,tes,58,42
nic fit,rug delver,57,27
lands,reanimator,57,32
dredge,u/r delver,57,24
maverick,pox,56,40
high tide,maverick,56,35
goblins,lands,56,31
enchantress,rug delver,56,22
metalworker,rug delver,55,24
merfolk,new horizons,55,27
enchantress,zoo,55,28
show and tell,zoo,54,36
reanimator,sneak and show,54,28
merfolk,miracles,54,34
goblins,high tide,54,16
bug landstill,merfolk,54,17
merfolk,tes,53,32
junk,survival,53,21
eva green,merfolk,53,30
dredge,miracles,53,17
counter-top,show and tell,53,28
counter-top,elves,53,29
burn,painted stone,53,32
ant,burn,53,34
ant,belcher,53,32
u/w landstill,zoo,52,26
junk,painted stone,52,25
team america,u/w landstill,51,18
no bant,zoo,51,31
bug,stoneblade,51,17
bant,goblins,51,32
merfolk,sneak and show,50,30
merfolk,mono blue control,50,31
enchantress,goblins,50,30
rug delver,zoo,49,27
no bant,team america,49,32
elves,miracles,49,15
dredge,enchantress,49,18
burn,high tide,49,20
maverick,metalworker,48,29
counter-top,lands,48,25
u/w stoneblade,zoo,47,33
no rug,u/w stoneblade,47,21
lands,stoneblade,47,25
elves,u/r delver,47,23
dredge,metalworker,47,16
miracles,reanimator,46,33
counter-top,stoneblade,46,23
bant,reanimator,46,32
hive mind,rug delver,45,18
high tide,team america,45,13
dredge,show and tell,45,23
bant,counter-top,45,21
ant,show and tell,45,24
affinity,bant,45,18
reanimator,show and tell,44,21
no bant,stoneblade,44,13
new horizons,zoo,44,29
junk,no bant,44,17
high tide,zoo,44,29
elves,team america,44,20
belcher,elves,44,30
bant,junk,44,23
affinity,painted stone,44,13
affinity,high tide,44,14
show and tell,team america,43,21
lands,rug delver,43,23
goblins,u/r delver,43,27
elves,sneak and show,43,18
elves,metalworker,43,24
counter-top,enchantress,43,21
burn,miracles,43,21
ant,survival,43,19
elves,junk,42,18
burn,sneak and show,42,12
maverick,omnitell,41,15
goblins,sneak and show,41,17
goblins,no bant,41,28
enchantress,reanimator,41,9
ant,rug delver,41,13
ant,elves,41,28
show and tell,stoneblade,40,24
hive mind,zoo,40,33
dredge,tes,40,17
dredge,no bant,40,14
burn,tes,40,17
burn,metalworker,40,19
belcher,sneak and show,40,21
aggro loam,stoneblade,40,25
reanimator,u/w stoneblade,39,18
goblins,metalworker,39,17
dredge,high tide,39,19
burn,show and tell,39,15
ant,lands,39,24
omnitell,stoneblade,38,18
bant,maverick,38,17
bant,burn,38,21
ant,painted stone,38,17
affinity,show and tell,38,22
merfolk,u/r delver,37,12
merfolk,stax,37,23
landstill,merfolk,37,12
enchantress,maverick,37,20
aggro loam,zoo,37,24
no rug,reanimator,36,19
miracles,omnitell,36,25
metalworker,zoo,36,17
merfolk,omnitell,36,14
maverick,tes,36,21
junk,metalworker,36,21
burn,pox,36,19
bant,elves,36,17
affinity,no bant,36,12
