                             mean     sd   2.5%    25%    50%    75%  97.5%
Delver                       0.14   0.02   0.09   0.12   0.13   0.15   0.19
Death and Taxes               0.1   0.02   0.06   0.08    0.1   0.11   0.15
Storm                        0.08   0.02   0.04   0.06   0.08   0.09   0.12
Chalice Stompy               0.07   0.02   0.04   0.06   0.07   0.08   0.11
Miracles                     0.06   0.02   0.03   0.05   0.06   0.07    0.1
Grixis Control               0.06   0.02   0.03   0.04   0.06   0.07   0.09
4c Loam                      0.05   0.02   0.03   0.04   0.05   0.06   0.09
Reanimator                   0.05   0.02   0.03   0.04   0.05   0.06   0.09
Nic Fit                      0.04   0.01   0.02   0.03   0.04   0.05   0.07
Show and Tell                0.04   0.01   0.02   0.03   0.04   0.05   0.07
Lands                        0.04   0.01   0.01   0.03   0.03   0.04   0.07
Eldrazi Post                 0.03   0.01   0.01   0.02   0.03   0.04   0.06
Elves                        0.03   0.01   0.01   0.02   0.03   0.04   0.06
Stoneblade                   0.03   0.01   0.01   0.02   0.03   0.04   0.06
Misc.                        0.18   0.03   0.13   0.16   0.18   0.19   0.23
